Date,Mkt-RF,SMB,HML,RMW,CMA,RF,Close,Volume,Returns,excess_return
1990-02-01,1.11,1.17,0.64,-0.03,-0.66,0.57,331.8900146484375,2961970000,0.850279135448318,0.28027913544831806
1990-03-01,1.83,1.62,-2.92,2.04,-1.02,0.64,339.94000244140625,3283280000,2.3965505779727976,1.7565505779727975
1990-04-01,-3.36,-0.33,-2.59,1.78,-0.98,0.69,330.79998779296875,2801220000,-2.725521238308934,-3.415521238308934
1990-05-01,8.42,-2.35,-3.83,1.57,-1.68,0.68,361.2300109863281,3596680000,8.800097873791163,8.120097873791163
1990-06-01,-1.09,1.35,-1.93,-1.03,-0.39,0.63,358.0199890136719,3226280000,-0.8926084910209643,-1.5226084910209643
1990-07-01,-1.9,-3.16,-0.03,-0.18,3.21,0.68,356.1499938964844,3373540000,-0.5236846788815326,-1.2036846788815327
1990-08-01,-10.15,-3.87,1.64,-0.35,2.96,0.66,322.55999755859375,4020730000,-9.906281541277137,-10.566281541277137
1990-09-01,-6.12,-3.74,0.64,0.06,3.67,0.6,306.04998779296875,2687280000,-5.254071046276891,-5.854071046276891
1990-10-01,-1.92,-5.12,0.1,2.97,-0.3,0.68,304.0,3671900000,-0.6720746005114605,-1.3520746005114606
1990-11-01,6.35,0.07,-3.1,0.65,-4.74,0.57,322.2200012207031,3149770000,5.820684444503389,5.2506844445033884
1990-12-01,2.46,0.67,-1.7,2.73,-1.89,0.6,330.2200012207031,3116830000,2.4524556849066763,1.8524556849066762
1991-01-01,4.69,3.91,-1.6,1.28,-3.99,0.52,343.92999267578125,3660240000,4.067902429874777,3.5479024298747768
1991-02-01,7.19,3.94,-0.58,-0.2,-0.33,0.48,367.07000732421875,4303170000,6.511445851577625,6.031445851577624
1991-03-01,2.65,3.83,-1.39,-0.53,-1.06,0.44,375.2200012207031,3927920000,2.195993835391806,1.755993835391806
1991-04-01,-0.28,0.31,1.5,0.62,0.74,0.53,375.3399963378906,4017200000,0.03197482375830989,-0.4980251762416901
1991-05-01,3.65,0.14,-0.52,2.0,-2.43,0.47,389.8299865722656,3739700000,3.7878440105439655,3.3178440105439657
1991-06-01,-4.94,0.24,1.15,1.79,0.65,0.42,371.1600036621094,3258730000,-4.907746586014916,-5.327746586014916
1991-07-01,4.24,-0.96,-1.32,1.6,-1.36,0.49,387.80999755859375,3481570000,4.388227631696101,3.898227631696101
1991-08-01,2.32,1.4,-0.78,0.84,-0.34,0.46,395.42999267578125,3713820000,1.9458239201722227,1.4858239201722228
1991-09-01,-1.59,1.56,-1.08,-1.82,0.08,0.46,387.8599853515625,3260990000,-1.9329349869559536,-2.3929349869559537
1991-10-01,1.29,0.91,-0.47,-1.7,-0.23,0.42,392.45001220703125,4082380000,1.1764759676739434,0.7564759676739434
1991-11-01,-4.19,-0.83,-1.89,1.11,0.01,0.39,375.2200012207031,3737620000,-4.489664780873656,-4.8796647808736555
1991-12-01,10.84,-2.4,-4.17,3.55,-3.12,0.38,417.0899963378906,4155310000,10.578949320065524,10.198949320065523
1992-01-01,-0.59,9.18,4.71,-1.32,3.2,0.34,408.7799987792969,5286280000,-2.0124906041998383,-2.352490604199838
1992-02-01,1.09,1.33,6.47,0.08,2.19,0.28,412.70001220703125,4267610000,0.9543855309576457,0.6743855309576456
1992-03-01,-2.66,-0.93,3.56,-0.01,1.95,0.34,403.69000244140625,4066240000,-2.207370360663781,-2.547370360663781
1992-04-01,1.07,-5.7,4.34,1.69,2.23,0.32,414.95001220703125,4315840000,2.751079773217417,2.431079773217417
1992-05-01,0.3,0.21,1.19,-0.95,0.48,0.28,415.3500061035156,3643980000,0.096349251741979,-0.18365074825802102
1992-06-01,-2.34,-2.73,3.24,-0.05,1.01,0.32,408.1400146484375,4259830000,-1.7511264288296995,-2.0711264288296993
1992-07-01,3.77,-0.62,-0.56,1.3,-0.91,0.31,424.2099914550781,4265220000,3.8618306803876776,3.5518306803876776
1992-08-01,-2.38,-0.42,-1.1,3.72,-1.65,0.26,414.0299987792969,3653820000,-2.4290163475819795,-2.6890163475819797
1992-09-01,1.19,0.48,-0.26,1.64,-0.59,0.26,417.79998779296875,4023850000,0.9064387885347568,0.6464387885347568
